module	version	source	score
github.com/fatedier/frp	e9e12cf888c9bf76489c66d45685f43906f70f5c	https://github.com/fatedier/frp	82461
github.com/gohugoio/hugo	a2f6400d65011ceb9cabb3145246b493e16888a6	https://github.com/gohugoio/hugo	75839
github.com/ethereum/go-ethereum	68860063fb6c2e43eece0ef22818e77d7ad4096e	https://github.com/ethereum/go-ethereum	61504
github.com/prometheus/prometheus	4a56a6bf592ad032714ddedaee1b5e4fc77aa93e	https://github.com/prometheus/prometheus	57838
github.com/syncthing/syncthing	462389934b87eb1b2e2deb8b2b19cc504b449c3a	https://github.com/syncthing/syncthing	57521
github.com/junegunn/fzf	9ec3f0387175c6993841c69a230414f8fef00e51	https://github.com/junegunn/fzf	55956
v2ray.com/core	d80440f3d57b45c829dbf513306f7adf9a0f3f76	https://github.com/v2ray/v2ray-core	51706
github.com/Dreamacro/clash	c7e34bdc1171cf749a658b4cd805de54fdc3d97d	https://github.com/Dreamacro/clash	51436
github.com/traefik/traefik/v3	4f6c15cc14cdedc34484c697994134959fdff493	https://github.com/traefik/traefik	48875
gogs.io/gogs	2620cc3e8d62504588b64e8a7dcfa02b5fc82c6b	https://github.com/gogs/gogs	47544
github.com/hashicorp/terraform	919e62089b4886c0f090da757ee28ed9b8f3a2f0	https://github.com/hashicorp/terraform	47232
github.com/nektos/act	f55ae1a0bc4fb14d463b79a62ff9a37d7e5bda68	https://github.com/nektos/act	43051
github.com/pingcap/tidb	92b5a676068613bffac6059e4826d7da59ac242d	https://github.com/pingcap/tidb	40217
github.com/jesseduffield/lazygit	d99e983236dc2126da583b118448bd17ee692ddb	https://github.com/jesseduffield/lazygit	39432
github.com/wagoodman/dive	3ef1dd2c74c6952064d866adc2b225048d939f83	https://github.com/wagoodman/dive	39278
github.com/evanw/esbuild	f2d23b294e41253062f6c49fd7e339dfb8019940	https://github.com/evanw/esbuild	36850
github.com/beego/beego/v2	590fcd9b8f2f5548626993ec1b0d1ba37db5c4c1	https://github.com/beego/beego	35684
github.com/spf13/cobra	fd865a44e3c48afeb6a6dbddadb8a5519173e029	https://github.com/spf13/cobra	35646
github.com/alist-org/alist/v3	13e8d36e1a44a7e4bf1bffa6a4d533a5e0d34afc	https://github.com/alist-org/alist	33040
github.com/hashicorp/vault	510cce5f8188b8f4b6b8f38a11192d62c9c89fd3	https://github.com/hashicorp/vault	32138
k8s.io/minikube	c56a9a8e62e0cded6f2446432d53dd3284d57aab	https://github.com/kubernetes/minikube	31727
github.com/hashicorp/consul	cda884ac819783b9c148de019444e45a5bab6669	https://github.com/hashicorp/consul	31131
github.com/cockroachdb/cockroach	c13bf7633cbb416d9e43f8c57b1e309fab1110ce	https://github.com/cockroachdb/cockroach	31093
github.com/drone/drone	7fc7d6538157f683249bdacfad6542060a28feba	https://github.com/harness/drone	29792
github.com/photoprism/photoprism	71c30e4218a7f430ec2149f57ced86ae44207f82	https://github.com/photoprism/photoprism	29766
github.com/influxdata/influxdb/v2	75a8bcfae2af7b0043933be9f96b98c0741ceee3	https://github.com/influxdata/influxdb	29365
github.com/zeromicro/go-zero	45fbd7dc353e3930f7dce7fd51c964b4e4836799	https://github.com/zeromicro/go-zero	28733
github.com/labstack/echo/v4	77d5ae6a9173d89c49e008607d08df7ba41336f0	https://github.com/labstack/echo	28468
github.com/go-kit/kit	dfe43fa6a8d72c23e2205d0b80e762346e203f78	https://github.com/go-kit/kit	27730
github.com/v2fly/v2ray-core/v5	508f0c9237f9de9259e5d495d85d88e9f59c4c43	https://github.com/v2fly/v2ray-core	27236
github.com/k3s-io/k3s	38a0b91c1a917d2866aee265bc7815424af3e701	https://github.com/k3s-io/k3s	26265
github.com/pocketbase/pocketbase	cbf1215bb1a917e6052bc308c28c5639e4388ef1	https://github.com/pocketbase/pocketbase	26228
github.com/spf13/viper	b77f4c19280bab64272eb8dba6c3a15bb2cae0ce	https://github.com/spf13/viper	25639
github.com/sirupsen/logrus	dd1b4c2e81afc5c255f216a722b012ed26be57df	https://github.com/sirupsen/logrus	25349
github.com/openfaas/faas	55776acc0dcaedee90b845ee7a8c1c2fe1e303b1	https://github.com/openfaas/faas	25233
github.com/go-kratos/kratos/v2	7888107c4b4f978a4bbed2382fac762bcadbd13c	https://github.com/go-kratos/kratos	25041
github.com/trustwallet/assets	4b330ac9e5a276254de201d6c81d139abe98d2dc	https://github.com/trustwallet/assets	25021
github.com/github/hub/v2	efa668511d663eb2713e61838566232912a2d32c	https://github.com/mislav/hub	24920
github.com/milvus-io/milvus	a5c2ad2c46e084c505bf7220e73c4c5ed6f05c4b	https://github.com/milvus-io/milvus	24536
github.com/iawia002/lux	092bc0f6c18f81e1441ac17b2d053e74d7e6ddfe	https://github.com/iawia002/lux	24351
github.com/dapr/dapr	06119fde8140eaee1e7d26dc86e46c726c3ac602	https://github.com/dapr/dapr	23419
github.com/hyperledger/fabric	c2be53a22ab521380bf951bcb950fd7b466d7548	https://github.com/hyperledger/fabric	23396
k8s.io/ingress-nginx	6b05e9b06e3a61062a33c6c8338f2e253c881aec	https://github.com/kubernetes/ingress-nginx	23318
github.com/derailed/k9s	b5961a5febb6ec3d25936ab8cc50d6f37d8ac642	https://github.com/derailed/k9s	23297
github.com/zyedidia/micro/v2	ceaa143c621630b72401f2afd80ba80befc6f7d4	https://github.com/zyedidia/micro	23048
go-micro.dev/v4	27c488712e71a16e4cc9ff27de74fe25b0ae8900	https://github.com/go-micro/go-micro	23033
github.com/gorilla/websocket	8983b963247d87e6caf0e3b72db2539590f1b2c6	https://github.com/gorilla/websocket	22994
github.com/go-delve/delve	17d1f4c8299599c6d7ae3f41c7edbe9dbe753098	https://github.com/go-delve/delve	22984
github.com/tsenart/vegeta/v12	b4b20af16e4f0cca73c8b49807de3a7a7906642a	https://github.com/tsenart/vegeta	22958
